Central Atlantic (PADD 1B) Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240738&sdid=PET.EMM_EPMRU_PTE_R1Y_DPG.M
15:29:05 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R1Y_DPG.M Dollars per Gallon
Jun 1996,1.282
May 1996,1.295
Apr 1996,1.232
Mar 1996,1.151
Feb 1996,1.131
Jan 1996,1.142
Dec 1995,1.132
Nov 1995,1.122
Oct 1995,1.158
Sep 1995,1.183
Aug 1995,1.2
Jul 1995,1.227
Jun 1995,1.244
May 1995,1.21
Apr 1995,1.125
Mar 1995,1.109
Feb 1995,1.124
Jan 1995,1.149
Dec 1994,1.175
Nov 1994,1.175
Oct 1994,1.151
Sep 1994,1.16
Aug 1994,1.158
Jul 1994,1.114
Jun 1994,1.088
May 1994,1.056
Apr 1994,1.033
Mar 1994,1.033
Feb 1994,1.038
Jan 1994,1.036
Dec 1993,1.061
Nov 1993,1.09
Oct 1993,1.102
Sep 1993,1.061
Aug 1993,1.074
Jul 1993,1.088
Jun 1993,1.096
May 1993,1.092
Apr 1993,1.074 
