Rocky Mountain Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240798&sdid=PET.EMM_EPMRU_PTE_R40_DPG.M
15:34:55 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R40_DPG.M Dollars per Gallon
Aug 2007,2.868
Jul 2007,3.056
Jun 2007,3.201
May 2007,3.206
Apr 2007,2.788
Mar 2007,2.448
Feb 2007,2.175
Jan 2007,2.191
Dec 2006,2.247
Nov 2006,2.251
Oct 2006,2.431
Sep 2006,2.828
Aug 2006,3.004
Jul 2006,2.9
Jun 2006,2.837
May 2006,2.822
Apr 2006,2.545
Mar 2006,2.342
Feb 2006,2.232
Jan 2006,2.196
Dec 2005,2.113
Nov 2005,2.311
Oct 2005,2.762
Sep 2005,2.914
Aug 2005,2.433
Jul 2005,2.269
Jun 2005,2.164
May 2005,2.22
Apr 2005,2.233
Mar 2005,2.058
Feb 2005,1.872
Jan 2005,1.794
Dec 2004,1.868
Nov 2004,1.969
Oct 2004,1.968
Sep 2004,1.884
Aug 2004,1.899
Jul 2004,1.914
Jun 2004,1.965
May 2004,1.976
Apr 2004,1.831
Mar 2004,1.718
Feb 2004,1.583
Jan 2004,1.531
Dec 2003,1.499
Nov 2003,1.551
Oct 2003,1.583
Sep 2003,1.704
Aug 2003,1.641
Jul 2003,1.538
Jun 2003,1.502
May 2003,1.511
Apr 2003,1.586
Mar 2003,1.662
Feb 2003,1.572
Jan 2003,1.419
Dec 2002,1.389
Nov 2002,1.446
Oct 2002,1.464
Sep 2002,1.442
Aug 2002,1.455
Jul 2002,1.424
Jun 2002,1.378
May 2002,1.386
Apr 2002,1.383
Mar 2002,1.211
Feb 2002,1.108
Jan 2002,1.114
Dec 2001,1.11
Nov 2001,1.257
Oct 2001,1.456
Sep 2001,1.57
Aug 2001,1.429
Jul 2001,1.502
Jun 2001,1.655
May 2001,1.66
Apr 2001,1.517
Mar 2001,1.43
Feb 2001,1.437
Jan 2001,1.427
Dec 2000,1.498
Nov 2000,1.592
Oct 2000,1.608
Sep 2000,1.59
Aug 2000,1.547
Jul 2000,1.6
Jun 2000,1.565
May 2000,1.485
Apr 2000,1.519
Mar 2000,1.51
Feb 2000,1.346
Jan 2000,1.294
Dec 1999,1.311
Nov 1999,1.314
Oct 1999,1.346
Sep 1999,1.36
Aug 1999,1.326
Jul 1999,1.225
Jun 1999,1.195
May 1999,1.207
Apr 1999,1.181
Mar 1999,1.013
Feb 1999,0.957
Jan 1999,0.959
Dec 1998,0.993
Nov 1998,1.081
Oct 1998,1.097
Sep 1998,1.102
Aug 1998,1.113
Jul 1998,1.121
Jun 1998,1.144
May 1998,1.112
Apr 1998,1.065
Mar 1998,1.063
Feb 1998,1.123
Jan 1998,1.212
Dec 1997,1.262
Nov 1997,1.282
Oct 1997,1.29
Sep 1997,1.288
Aug 1997,1.277
Jul 1997,1.262
Jun 1997,1.266
May 1997,1.264
Apr 1997,1.269
Mar 1997,1.255
Feb 1997,1.259
Jan 1997,1.254
Dec 1996,1.259
Nov 1996,1.28
Oct 1996,1.28
Sep 1996,1.284
Aug 1996,1.282
Jul 1996,1.279
Jun 1996,1.313
May 1996,1.349
Apr 1996,1.242
Mar 1996,1.144
Feb 1996,1.114
Jan 1996,1.116
Dec 1995,1.131
Nov 1995,1.152
Oct 1995,1.165
Sep 1995,1.168
Aug 1995,1.159
Jul 1995,1.172
Jun 1995,1.183
May 1995,1.168
Apr 1995,1.13
Mar 1995,1.106
Feb 1995,1.102
Jan 1995,1.127
Dec 1994,1.151
Nov 1994,1.182
Oct 1994,1.189
Sep 1994,1.257
Aug 1994,1.241
Jul 1994,1.17
Jun 1994,1.136
May 1994,1.076
Apr 1994,1.052
Mar 1994,1.058
Feb 1994,1.072
Jan 1994,1.076
Dec 1993,1.126
Nov 1993,1.168
Oct 1993,1.163
Sep 1993,1.11
Aug 1993,1.116
Jul 1993,1.121
Jun 1993,1.135
May 1993,1.155
Apr 1993,1.125
Mar 1993,1.091
Feb 1993,1.092
Jan 1993,1.098
Dec 1992,1.132
Nov 1992,1.182
Oct 1992,1.171
Sep 1992,1.185
Aug 1992,1.194
Jul 1992,1.202
Jun 1992,1.195
May 1992, 
