Lower Atlantic (PADD 1C) Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240753&sdid=PET.EMM_EPMRU_PTE_R1Z_DPG.M
15:33:37 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R1Z_DPG.M Dollars per Gallon
Nov 2007,3.056
Oct 2007,2.784
Sep 2007,2.748
Aug 2007,2.712
Jul 2007,2.892
Jun 2007,2.967
May 2007,3.02
Apr 2007,2.786
Mar 2007,2.496
Feb 2007,2.205
Jan 2007,2.201
Dec 2006,2.279
Nov 2006,2.18
Oct 2006,2.18
Sep 2006,2.523
Aug 2006,2.908
Jul 2006,2.915
Jun 2006,2.791
May 2006,2.831
Apr 2006,2.755
Mar 2006,2.413
Feb 2006,2.264
Jan 2006,2.324
Dec 2005,2.161
Nov 2005,2.267
Oct 2005,2.8
Sep 2005,2.91
Aug 2005,2.446
Jul 2005,2.235
Jun 2005,2.115
May 2005,2.131
Apr 2005,2.221
Mar 2005,2.048
Feb 2005,1.876
Jan 2005,1.82
Dec 2004,1.836
Nov 2004,1.942
Oct 2004,1.945
Sep 2004,1.823
Aug 2004,1.811
Jul 2004,1.859
Jun 2004,1.912
May 2004,1.907
Apr 2004,1.739
Mar 2004,1.678
Feb 2004,1.609
Jan 2004,1.553
Dec 2003,1.431
Nov 2003,1.433
Oct 2003,1.465
Sep 2003,1.57
Aug 2003,1.551
Jul 2003,1.457
Jun 2003,1.401
May 2003,1.383
Apr 2003,1.483
Mar 2003,1.595
Feb 2003,1.557
Jan 2003,1.407
Dec 2002,1.327
Nov 2002,1.36
Oct 2002,1.388
Sep 2002,1.312
Aug 2002,1.306
Jul 2002,1.3
Jun 2002,1.295
May 2002,1.324
Apr 2002,1.342
Mar 2002,1.173
Feb 2002,1.048
Jan 2002,1.055
Dec 2001,1.009
Nov 2001,1.065
Oct 2001,1.216
Sep 2001,1.367
Aug 2001,1.284
Jul 2001,1.296
Jun 2001,1.482
May 2001,1.555
Apr 2001,1.473
Mar 2001,1.345
Feb 2001,1.4
Jan 2001,1.375
Dec 2000,1.36
Nov 2000,1.425
Oct 2000,1.442
Sep 2000,1.454
Aug 2000,1.406
Jul 2000,1.501
Jun 2000,1.508
May 2000,1.416
Apr 2000,1.412
Mar 2000,1.472
Feb 2000,1.331
Jan 2000,1.24
Dec 1999,1.226
Nov 1999,1.194
Oct 1999,1.186
Sep 1999,1.175
Aug 1999,1.131
Jul 1999,1.073
Jun 1999,1.026
May 1999,1.04
Apr 1999,1.023
Mar 1999,0.907
Feb 1999,0.866
Jan 1999,0.881
Dec 1998,0.894
Nov 1998,0.944
Oct 1998,0.957
Sep 1998,0.937
Aug 1998,0.953
Jul 1998,0.976
Jun 1998,0.986
May 1998,0.994
Apr 1998,0.985
Mar 1998,0.978
Feb 1998,1.005
Jan 1998,1.041
Dec 1997,1.079
Nov 1997,1.113
Oct 1997,1.138
Sep 1997,1.169
Aug 1997,1.159
Jul 1997,1.116
Jun 1997,1.136
May 1997,1.145
Apr 1997,1.161
Mar 1997,1.175
Feb 1997,1.194
Jan 1997,1.198
Dec 1996,1.199
Nov 1996,1.187
Oct 1996,1.152
Sep 1996,1.142
Aug 1996,1.149
Jul 1996,1.167
Jun 1996,1.197
May 1996,1.215
Apr 1996,1.176
Mar 1996,1.075
Feb 1996,1.031
Jan 1996,1.028
Dec 1995,1.005
Nov 1995,1.013
Oct 1995,1.048
Sep 1995,1.074
Aug 1995,1.098
Jul 1995,1.133
Jun 1995,1.166
May 1995,1.145
Apr 1995,1.059
Mar 1995,1.022
Feb 1995,1.025
Jan 1995,1.033
Dec 1994,1.056
Nov 1994,1.084
Oct 1994,1.074
Sep 1994,1.093
Aug 1994,1.091
Jul 1994,1.048
Jun 1994,1.025
May 1994,1
Apr 1994,0.988
Mar 1994,0.97
Feb 1994,0.969
Jan 1994,0.958
Dec 1993,0.982
Nov 1993,1.024
Oct 1993,1.042
Sep 1993,1.012
Aug 1993,1.031
Jul 1993,1.048
Jun 1993,1.061
May 1993,1.059
Apr 1993,1.035 
